term_srcdb,subject,course_number,code,crn,section,title,enrolled,campus_code,schedule_type,status_code,is_cancelled,meets,instructor,start_date,end_date,meetingTimes,timestamp
202602,SUS,102,SUS 102,35588,012,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,35589,013,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '2', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,38091,014,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 4-6:50p; S 10a-12:50p,A. Leytem,2026-01-05,2026-02-21,"[{'meet_day': '2', 'start_time': '1600', 'end_time': '1850'}, {'meet_day': '5', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,36730,015,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,W 4-6:50p; S 10a-12:50p,A. Leytem,2026-01-05,2026-02-21,"[{'meet_day': '2', 'start_time': '1600', 'end_time': '1850'}, {'meet_day': '5', 'start_time': '1000', 'end_time': '1250'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,38036,016,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,R 9a-12p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '900', 'end_time': '1200'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,37733,017,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,R 9a-12p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '3', 'start_time': '900', 'end_time': '1200'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,37727,018,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,F 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,42216,019,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,C,D,A,False,F 1-3:50p,A. Leytem,2026-01-05,2026-03-13,"[{'meet_day': '4', 'start_time': '1300', 'end_time': '1550'}]",2025-11-20T11:49:17
202602,SUS,102,SUS 102,35585,400,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,DI,Y,A,False,,L. Reynolds,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
202602,SUS,102,SUS 102,37034,401,+*INTRODUCTION TO ENVIRONMENTAL SCIENCE AND SUSTAINABILITY,16,DI,Y,A,False,,R. Jones,2026-01-05,2026-03-13,[],2025-11-20T11:49:17
